"References","Value","Footprint","Quantity"
"A?,B?,C?,D?","LED","LED_THT:LED_D3.0mm_Clear","4"
"C1","10uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1"
"C2","100u/16V","Footprints:CAP_YX_5X11_RUB","1"
"C4","10uF/16V","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","1"
"C5,C7,C8","0.1u","Footprints:CAPRR254W54L381T254H466","3"
"C6","470uF/16V","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","1"
"J1,J12","HOMING SENSOR","Footprints:JST_B3B-XH-A_LF__SN_","2"
"J2","USB_C Charger","","1"
"J3","Conn_01x02_Socket","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","1"
"J4","POWER","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1"
"J5","RIGHT ENCODER","Footprints:JST_B6B-XH-A_LF__SN_","1"
"J6","LEFT ENCODER","Footprints:JST_B6B-XH-A_LF__SN_","1"
"J7","B5B-XH-A","Footprints:JST_B5B-XH-A","1"
"J8,J13","Conn_01x15_Pin","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical","2"
"J9","TOF SENSOR","Footprints:JST_B4B-XH-A","1"
"J10","OLED SCREEN","Footprints:JST_B4B-XH-A","1"
"J11","IMU SENSOR","Footprints:JST_B4B-XH-A","1"
"R1-R4","470","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","4"
"SW1","Kill Switch","","1"
"TP1","+5V","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","1"
"TP2","GND","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","1"
"TP3","+3V3","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","1"
"TP4","SDA","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","1"
"TP5","SCL","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","1"
"U1","LM2596S","Footprints:LM2596S_F","1"
"U2","MOTOR DRIVER","Footprints:MODULE_ROB-14450","1"
"U3","ULN2003A","Footprints:DIL16","1"
"U4","ESP32-DEVKIT-V1","Footprints:MODULE_ESP32_DEVKIT_V1","1"
